,category,mc1,mc2
0,abstract_algebra,0.2727272727272727,0.2891376219941193
1,anatomy,0.5,0.4642680242249312
2,astronomy,0.3125,0.31259893904927755
3,business_ethics,0.5454545454545454,0.4825772879669771
4,clinical_knowledge,0.3103448275862069,0.34820216290247913
5,college_biology,0.38461538461538464,0.3560256449938733
6,college_chemistry,0.25,0.3082564818763447
7,college_computer_science,0.36363636363636365,0.32600470024088346
8,college_mathematics,0.09090909090909091,0.11721446508522487
9,college_medicine,0.3181818181818182,0.3495365753745341
10,college_physics,0.2727272727272727,0.32469677445432304
11,computer_security,0.5454545454545454,0.5061494960685123
12,conceptual_physics,0.38461538461538464,0.3480670792924948
13,econometrics,0.3333333333333333,0.3862989454723364
14,electrical_engineering,0.3125,0.3192767834371808
15,elementary_mathematics,0.5121951219512195,0.4706737256315333
16,formal_logic,0.35714285714285715,0.36884404556660083
17,global_facts,0.3,0.41423197637465325
18,high_school_biology,0.34375,0.29322806743038304
19,high_school_chemistry,0.22727272727272727,0.22995584220582369
20,high_school_computer_science,0.3333333333333333,0.29272338256093944
21,high_school_european_history,0.4444444444444444,0.42731191039920563
22,high_school_geography,0.5909090909090909,0.5467633707949914
23,high_school_government_and_politics,0.3333333333333333,0.3564503912617882
24,high_school_macroeconomics,0.3953488372093023,0.3944599023661164
25,high_school_mathematics,0.27586206896551724,0.2690252804612079
26,high_school_microeconomics,0.4230769230769231,0.4201786182705867
27,high_school_physics,0.11764705882352941,0.14679967707780314
28,high_school_psychology,0.6,0.5799083068301892
29,high_school_statistics,0.34782608695652173,0.3217438676050826
30,high_school_us_history,0.4090909090909091,0.3873772921027575
31,high_school_world_history,0.34615384615384615,0.33734660545179246
32,human_aging,0.6086956521739131,0.5421815616433371
33,human_sexuality,0.5833333333333334,0.5060236165777451
34,international_law,0.15384615384615385,0.18450991646839918
35,jurisprudence,0.36363636363636365,0.40134881180595366
36,logical_fallacies,0.4444444444444444,0.46847295961518864
37,machine_learning,0.2727272727272727,0.2518372269048726
38,management,0.5454545454545454,0.5183355290246452
39,marketing,0.68,0.6757195754546947
40,medical_genetics,0.5454545454545454,0.5447126553992402
41,miscellaneous,0.6162790697674418,0.6024518980078092
42,moral_disputes,0.5,0.5117729395466957
43,moral_scenarios,0.24,0.2462148939314487
44,nutrition,0.3333333333333333,0.3238133138675315
45,philosophy,0.4117647058823529,0.41144682980794717
46,prehistory,0.45714285714285713,0.4352505725074237
47,professional_accounting,0.22580645161290322,0.23591460986820087
48,professional_law,0.23529411764705882,0.24551222237742867
49,professional_medicine,0.3870967741935484,0.44765536345327067
50,professional_psychology,0.42028985507246375,0.42885135332310614
51,public_relations,0.3333333333333333,0.32597870593477146
52,security_studies,0.37037037037037035,0.38242136546262245
53,sociology,0.2727272727272727,0.2969412493286838
54,us_foreign_policy,0.2727272727272727,0.20808687890818484
55,virology,0.3888888888888889,0.3586705081518453
56,world_religions,0.7368421052631579,0.7137918702143298

